#,N*,Name,Bayer,Flam,Gould,Var,GJ,LHS,PLX,HIP,Giclas,DM,HD,HR,RA (2000.0),dec (2000.0),Parallax,Plx Err,Parsecs,APM,Pos A,MURAT,MUDEC,U,B,V,R,I,J,H,K,M,RV,Spec,Notes,NS
666,N5 Sgr,,,,,,716,,4256,90790,,BD-18 4986,170657,,18 31 19.0,-18 54 31.7,0.07573,0.00089,13.2,0.24,215.8,-0.0099,-0.19459,,7.64,6.8,6.31,5.88,5.286,4.87,4.704,6.2,-35,K1 V,,1831-1854
667,N4 Scl,,,,,,3001,1008,5810.01,,267-018,,,,00 02 40.6,-34 13 36.3,0.0757,0.009,13.21,0.758,169,,,,15.36,14.94,,,14.117,14.024,13.919,14.33,,WD,,0002-3413
668,N2 UMi,,,,,UU,597,404,3575,76832,257-020,,,,15 41 16.6,+75 59 34.0,0.07566,0.0019,13.22,1.087,134.3,0.2142,-0.75983,15.04,13.86,12.22,11.11,9.69,8.26,7.716,7.442,11.61,,M3,,1541+7559
669,N15 Cas,Ross 302,,,,,895,,5665,115562,217-007,BD+57 2735,,,23 24 30.5,+57 51 15.5,0.07556,0.00133,13.23,0.29,192.5,-0.0078,-0.28275,,11.56,10.05,9.1,8.3,6.795,6.097,5.871,9.44,,M2 e,,2324+5751
670,N17 Cet,,,,,,1012,1084,77.01,,031-053,,,,00 28 39.4,-06 40 09.3,0.0754,0.0051,13.26,0.87,202,,,,13.68,12.17,11.01,9.51,8.038,7.504,7.189,11.56,,,SIMBAD name PLX 79 incorrect,0028-0640
671,N16 Ori,,,,,V998,206 A,,1259,25953,097-047,,,,05 32 14.7,+09 49 14.9,0.07535,0.00255,13.27,0.283,219,-0.012,-0.21944,,13.19,11.55,10.38,8.88,,,,10.94,,M3.5 V J,SB2 in Mar87,0532+0949 A
672,N16 Ori B,,,,,,206 B,,,,,,,,05 32 14.7,+09 49 14.9,0.07535,0.00255,13.27,,,,,,,,,,,,,,,,spectroscopic companion,0532+0949 B
673,N26 UMa,,,,,,3586,2224,2384.01,,195-057,,,,10 09 24.7,+51 15 38.5,0.0752,0.0032,13.3,0.927,209,,,,15.11,13.48,12.27,10.71,9.3,8.71,8.52,12.86,,,,1009+5115
674,N22 Eri,,,58,269 G.,IX,177,,1070,22263,,BD-17 954,30495,1532,04 47 36.3,-16 56 04.0,0.07514,0.0008,13.31,0.214,37.6,0.0091,0.1692,,6.11,5.47,5.11,4.78,4.466,4.116,3.999,4.85,16.8,G3 V,,0447-1656
675,N13 Peg,,,,,,863,3828,5454,111313,028-004,BD+08 4887,,,22 33 02.2,+09 22 40.7,0.07509,0.00204,13.32,0.556,75.4,0.0363,0.14005,13.119,11.91,10.38,9.42,8.34,7.208,6.604,6.356,9.76,9,M0,,2233+0922
676,N7 Aur,,,,,,1092,220,1588.03,,087-008,,,,06 49 07.5,+37 05 18.6,0.075,0.0022,13.33,1.618,172,,,,15.43,13.78,12.58,11,9.56,9.05,8.77,13.16,,,,0649+3705
677,N16 Aqr,,,,,,810 A,501,4999.00 A,,,,,,20 55 41.8,-14 03 52.9,0.075,0.0171,13.33,1.486,108,,,,14.06,12.46,11.24,9.62,,,,11.84,,,,2055-1403 A
678,N16 Aqr B,,,,,,810 B,500,4999.00 B,,,,,,20 55 41.8,-14 03 52.9,0.075,0.0171,13.33,1.486,108,,,,16.34,14.61,13.25,11.46,,,,13.99,,,,2055-1403 B
679,N5 Hor,,,,,,146,1563,754,16711,,CD-48 1011,22496,,03 35 00.9,-48 25 08.9,0.07497,0.00083,13.34,0.508,52.8,0.0406,0.30745,,9.92,8.6,7.79,7.06,6.122,5.493,5.338,7.97,19.5,K5/M0 V,,0335-4825
680,N6 Lib,Ross 802,,,,,592,3093,3525,,152-040,,,,15 37 01.0,-14 07 53.8,0.0749,0.0038,13.35,0.774,216,,,,14.27,12.7,11.49,9.92,8.432,7.87,7.572,12.07,,,,1537-1407
681,N17 Aqr,,,,,,4239,516,5301.01,,,,,,21 56 55.6,-01 54 03.2,0.0748,0.0032,13.37,1.426,64,,,,16.4,14.65,13.29,11.5,9.88,9.315,9.026,14.02,,,,2156-0154
682,N2 Gru,,,,,,1267,,,110443,,CD-55 9073,211970,,22 22 16.2,-54 33 38.3,0.07475,0.00132,13.38,0.297,321.5,-0.0213,0.23267,,10.41,9.06,,,6.462,5.842,5.663,8.42,,K5.0 V,,2222-5433
683,N20 Dra,,,,,,3971,6311,3808.01,,240-023,,,,16 40 14.6,+67 36 31.2,0.0747,0.0043,13.39,0.451,326,,,,17.6,15.65,14.4,11.3,9.85,9.29,8.95,15.01,,,,1640+6736
684,N3 CrA,,,,,,732 A,469,4355.00 A,,,,,,18 53 42.6,-38 36 19.7,0.0747,0.0118,13.39,1.01,161,,,,,,,,,,,,,,,1853-3836 A
685,N3 CrA B,,,,,,732 B,,,,,,,,18 53 42.6,-38 36 19.7,0.0747,0.0118,13.39,1.01,161,,,,,,,,,,,,,,,1853-3836 B
686,N5 Pav,,,,,V375,774 A,3513,4734.00 A,98811,,,,,20 04 02.8,-65 36 47.6,0.0747,0.0089,13.39,0.863,172,,,,12.83,11.35,10.34,9.06,,,,10.72,,,HIP number; no parallax,2004-6536 A
687,N5 Pav B,,,,,,774 B,3512,4734.00 B,,,,,,20 04 02.8,-65 36 47.6,0.0747,0.0089,13.39,0.863,172,,,,14.4,12.83,11.71,10.24,,,,12.2,,,,2004-6536 B
688,N11 Hya,,,,,,386,2244,2414.1,50341,162-038,,,,10 16 46.0,-11 57 42.4,0.07459,0.00224,13.41,0.734,214.6,-0.0284,-0.60417,13.546,11.97,10.51,9.46,8.13,7.323,6.71,6.452,9.87,,M0,,1016-1157
689,N16 Boo,,,,,,556,,3299.01,71181,200-049,BD+53 1719,128165,,14 33 28.9,+52 54 31.7,0.07455,0.00068,13.41,0.313,322.2,-0.0212,0.24753,,8.22,7.23,6.7,6.2,5.436,4.872,4.789,6.59,14.1,,,1433+5254
690,N3 Gru,,,,,,4224,,,107711,,,,,21 49 11.9,-41 33 32.4,0.07442,0.04123,13.44,1.059,116.5,0.0845,-0.47179,,,11.52,,,,,,10.87,,,,2149-4133
691,N12 Leo,Ross 627,,,,,427,304,2642,,120-045,,,,11 24 14.7,+21 21 03.4,0.0744,0.0028,13.44,1.05,270,,,,14.58,14.32,13.7,14.3,13.57,13.42,13.4,13.67,52,WD,,1124+2121
692,N16 Cas,,,,,,69,1291,354,8070,244-033,BD+63 229,10436,,01 43 40.7,+63 49 24.2,0.07439,0.00107,13.44,0.703,214.1,-0.0596,-0.58175,,9.61,8.4,7.67,7.02,6.122,5.51,5.38,7.76,-45,K5 V,,0143+6349
693,N19 Vir,Wolf 417,,,,,471,2570,2885,61094,012-039,BD+09 2636,,,12 31 15.8,+08 48 38.1,0.07431,0.00144,13.46,0.823,230.7,-0.0429,-0.52137,12.386,11.12,9.67,8.78,7.86,6.782,6.091,5.892,9.03,20.3,M1,not combined with NS 1231+0848 because of mismatch,1231+0848
694,N17 Boo,,,,,,1194 A,402,3547.01 A,,179-043,,,,15 40 10.4,+43 29 13.2,0.0742,0.0048,13.48,1.225,106,,,,13.48,11.91,10.82,9.43,,,,11.26,,,,1540+4329 A
695,N17 Boo B,,,,,,1194 B,403,,,,,,,15 40 10.4,+43 29 13.2,0.0742,0.0048,13.48,1.225,106,,,,,,,,,,,,,,,1540+4329 B
696,N18 Boo,,,,,,528 A,,3153.00 A,67422,150-041,BD+27 2296,120476,,13 49 04.0,+26 58 47.7,0.07418,0.00129,13.48,0.437,258.1,-0.032,-0.08994,,,,,,,,,,,K4 V,,1349+2658 A
697,N18 Boo B,,,,,,528 B,,3153.00 B,,,,,,13 49 04.0,+26 58 47.7,0.07418,0.00129,13.48,0.437,258.1,-0.032,-0.08994,,,,,,,,,,,K6,,1349+2658 B
698,N10 Cam,,,,,EG,,,,28368,192-011,,,,05 59 37.8,+58 35 34.9,0.07417,0.00182,13.48,0.253,177,0.0011,-0.24872,,11.73,10.26,9.4,8.6,,,,9.61,,M0.5,Parallax/PM updated since Hipparcos. CPM companion to G 192-012,0559+5835 A
699,N10 Cam B,,,,,,,,,,192-012,,,,05 59 55.7,+58 34 15.6,0.07417,0.00182,13.48,,,,,,15.23,13.58,12.5,10.5,,,,12.93,,M4,"CPM companion to G 192-011: 161"" away. Take plx from A comp.",0559+5835 B
700,N3 Mic,,,,,,791,3553,4866,100923,,CD-28 16676,,,20 27 41.7,-27 44 51.8,0.07414,0.00843,13.49,0.9,193,-0.0153,-0.87694,,12.98,11.47,10.4,9.04,7.706,7.083,6.864,10.82,-16,M3,,2027-2744
701,N7 Tau,,,,,V834,174,,1039,21818,085-004,BD+20 802,29697,,04 41 18.9,+20 54 05.5,0.07413,0.0012,13.49,0.345,222.5,-0.0167,-0.25455,,9.09,7.98,7.4,6.9,5.854,5.31,5.146,7.32,11,K3 V,,0441+2054
702,N7 Cyg,,,,,,767 A,3482,4652.00 A,97292,125-031,BD+31 3767,331161,,19 46 23.9,+32 01 01.4,0.07413,0.00159,13.49,0.608,130.2,0.0366,-0.3925,,11.31,9.79 J,8.8,7.67,,,,9.14,,M0.5 V,,1946+3201 A
703,N7 Cyg B,,,,,,767 B,3483,4652.00 B,,,,,,19 46 23.9,+32 01 01.4,0.07413,0.00159,13.49,0.608,130.2,0.0366,-0.3925,,,,,,,,,,,M2,,1946+3201 B
704,N27 UMa,Tet UMa,The,25,,,354 A,270,2266.00 A,46853,,BD+52 1401,82328,3775,09 32 51.4,+51 40 38.3,0.07406,0.00073,13.5,1.088,240.5,-0.1018,-0.5356,,,,,,,,,,,F6 IV,,0932+5140 A
705,N27 UMa B,,,,,,354 B,,,,,,,,09 32 51.4,+51 40 38.3,0.07406,0.00073,13.5,1.088,240.5,-0.1018,-0.5356,,,,,,,,,,,,,0932+5140 B
706,N8 CVn,,,,,,507 A,2716,3047.00 A,65011,164-064,BD+35 2436,,,13 19 33.6,+35 06 36.6,0.07398,0.00264,13.52,0.87,153.5,0.0316,-0.77872,,11.01,9.52,8.58,7.53,,,,8.87,,,,1319+3506 A
707,N8 CVn B,,,,,,507 B,2717,3047.00 B,65012,164-065,,,,13 19 34.7,+35 06 25.4,0.07398,0.00264,13.52,0.871,154.1,0.031,-0.78348,,13.69,12.12,11.03,9.66,,,,11.47,,,,1319+3506 B
708,N3 PsA,,,,,,868,,5486,111960,,CD-30 19255,214749,,22 40 43.4,-29 40 28.2,0.07382,0.00113,13.55,0.381,92.6,0.0292,-0.01742,,8.94,7.81,7.13,6.56,5.773,5.261,5.039,7.15,1,K4/5 V,CNS91 companion refuted by HIP parallax,2240-2940
709,N9 And,,Ups,50,,,61,,331,7513,,BD+40 332,9826,458,01 36 47.9,+41 24 19.7,0.07373,0.00071,13.56,0.418,204.4,-0.0153,-0.38101,,4.63,4.09,3.8,3.5,3.17,2.96,2.86,3.42,-28.3,,SB 197.9 days in YPC,0136+4124
710,N17 Oph,,,,,,4006,,3958.02,,,,,,17 26 13.1,+01 49 29.7,0.0737,0.0179,13.57,0.038,0,,,,11.6,10.9,,,9.567,9.348,9.209,10.23,,,,1726+0149
711,N21 Her,,,,,,4040,3343,4108.01,87938,204-039,,,,17 57 51.0,+46 35 19.1,0.07369,0.00182,13.57,0.576,358.2,-0.0017,0.57575,,13.2,11.68,10.58,9.19,7.847,7.254,7,11.02,-31.2,,,1757+4635
712,N12 Hya,,,,,,369,274,2334,48336,161-080,BD-11 2741,,,09 51 09.6,-12 19 47.5,0.07357,0.0057,13.59,1.849,142,0.0776,-1.45741,,11.54,10.06,9.13,8.11,6.988,6.4,6.15,9.39,61,M2,,0951-1219
713,N3 Vul,Wolf 1373,,,,,813,3605,5024,103441,187-009,,,,20 57 25.4,+22 21 45.9,0.07356,0.00279,13.59,0.802,105.3,0.0557,-0.21188,,13.64,12,10.96,9.68,8.41,7.868,7.64,11.33,-31,M3,,2057+2221
714,N4 Gru,,,,37 G.,,853 A,3790,5395.00 A,110109,,CD-54 9222,211415,8501,22 18 15.6,-53 37 37.4,0.07351,0.0007,13.6,0.77,145.2,0.0494,-0.6326,,5.98 J,5.38 J,5.03 J,4.68 J,,,,4.71,,G3 V,,2218-5337 A
715,N4 Gru B,,,,,,853 B,,,,,,,,22 18 15.6,-53 37 37.4,0.07351,0.0007,13.6,0.77,145.2,0.0494,-0.6326,,,,,,,,,,,,,2218-5337 B
716,N13 Hya,,,,,,2070,6149,2044.01,,113-046,,,,08 34 25.0,-01 08 13.3,0.0734,0.0096,13.62,0.455,152,,,,14.35,12.73,11.57,,8.81,8.322,8.031,12.05,,,,0834-0108
717,N13 Cen,,,,,,524,,3130,,,,,,13 44 47.1,-54 06 39.0,0.0734,0.0123,13.62,0.44,214,,,,14.04,12.46,11.4,10.12,,,,11.79,,,,1344-5406
718,N13 Psc,,,,,ZZ,895.2,5405,5685.01,,029-038,,,,23 28 45.9,+05 14 36.0,0.0734,0.004,13.62,0.492,238,,,,13.18,13.03,13.03,13.02,13.13,13.07,12.69,12.36,15.3,WD,,2328+0514
719,N20 Vir,Wolf 414,,,,,469,2565,2877,60910,012-038,,,,12 28 57.6,+08 25 31.8,0.07333,0.00318,13.64,0.685,247.8,-0.0427,-0.25824,,,12.29 *,10.87 J,9.33 J,,,,11.62,,M3.5,not combined with NS 1228+0825 because of mismatch,1228+0825 A
720,N20 Vir B,,,,,,,,,,,,,,12 28 57.6,+08 25 31.8,0.07333,0.00318,13.64,0.685,247.8,-0.0427,-0.25824,,,13.88 *,,,,,,13.21,,,interferometric companion in Hen99,1228+0825 B
721,N5 Cap,,,,,,836,513,5213,,,,,,21 39 08.2,-24 09 04.7,0.0733,0.012,13.64,1.209,124,,,,15.01,13.45,12.27,10.7,,,,12.78,,,,2139-2409
722,N4 Tel,,,,,,739,3423,4388.1,93206,,CD-48 12818,,,18 59 07.5,-48 16 28.1,0.07316,0.0024,13.67,0.518,162.6,0.0155,-0.49409,13.713,12.57,11.14,10.097,8.8,7.52,6.932,6.7,10.46,,M3,,1859-4816
723,N4 Com,Ross 1020,,,,,3779,350,3056.01,,149-081,,,,13 22 54.5,+24 26 59.8,0.0731,0.0027,13.68,1.08,216,,,,14.55,12.96,11.77,10.21,8.73,8.16,7.96,12.28,,,,1322+2426
724,N6 Per,Ross 587,,,,,162,1634,913,19337,038-026,,281621,,04 08 37.4,+33 38 13.3,0.07309,0.00214,13.68,0.54,76.4,0.042,0.12647,,11.72,10.2,9.25,8.19,7.016,6.395,6.178,9.52,31.2,M1,,0408+3338
725,N11 Cam,,,,,,215,1782,1303.1,27188,249-018,BD+62 780,,,05 45 48.3,+62 14 12.4,0.07308,0.00108,13.68,0.84,159.2,0.0426,-0.78527,,10.43,9.03,8.18,7.35,6.353,5.654,5.495,8.35,-18.4,K7,,0545+6214
726,N5 Cep,,,,,,133,5072,659,15638,245-071,,,,03 21 21.8,+79 58 02.1,0.07307,0.00156,13.69,0.499,55.2,0.157,0.28479,,12.8,11.21,10.2,9.1,7.704,7.117,6.89,10.52,-17.7,M2,,0321+7958
727,N7 Ara,,,,,,656,3268,3884,83990,,CD-60 6576,154577,,17 10 10.4,-60 43 43.5,0.07302,0.0009,13.69,0.594,6.9,0.0097,0.58982,,8.28,7.39,6.88,6.41,5.694,5.204,5.091,6.71,8.8,K2 V,,1710-6043
728,N10 Aql,Alshain,Bet,60,98 G.,,771 A,,4705.00 A,98036,,BD+06 4357,188512,7602,19 55 18.8,+06 24 24.4,0.07297,0.00082,13.7,0.484,174.5,0.0031,-0.48132,,4.58 J,3.72 J,3.27 J,2.83 J,,,,3.04,,,,1955+0624 A
729,N10 Aql B,,,,,,771 B,,,,,,,,19 55 18.8,+06 24 24.4,0.07297,0.00082,13.7,0.484,174.5,0.0031,-0.48132,,,,,,,,,,,,,1955+0624 B
730,N10 And,,,,,V439,5,,9,544,,BD+28 4704,166,8,00 06 36.8,+29 01 17.4,0.07289,0.00074,13.72,0.42,115.1,0.029,-0.17834,,6.88,6.13,5.6,5.2,4.733,4.629,4.314,5.44,-8.2,K0 Ve,,0006+2901
731,N14 Peg,,,,,,1292,551,5786.01,,129-047,,,,23 57 48.7,+23 16 54.3,0.0728,0.0027,13.74,1.459,135,,,,13.25,11.72,10.6,9.16,7.8,7.32,7.06,11.03,-35.1,,,2357+2316
732,N8 Tau,,,10,11 G.,,147,1569,753,16852,,BD-00 572,22484,1101,03 36 52.4,+00 24 06.0,0.07276,0.00077,13.74,0.535,205.8,-0.0155,-0.482,,4.85,4.28,3.95,3.64,3.194,2.916,2.835,3.59,27.6,F8 V,,0336+0024
733,N1 Nor,,,,,,615,413,3669,79537,,CD-57 6303,145417,,16 13 48.6,-57 34 13.8,0.07268,0.00082,13.76,1.649,211.2,-0.1062,-1.41079,,8.36,7.53,7.05,6.59,5.888,5.395,5.293,6.84,10,G8/K0 V(W),,1613-5734
734,N4 LMi,,,,,,353,2155,2262,46769,116-036,BD+36 1970,,,09 31 56.3,+36 19 12.8,0.07263,0.00187,13.77,0.564,201.5,-0.0171,-0.52486,,11.67,10.22,9.29,8.27,7.121,6.569,6.302,9.53,22,M2,,0931+3619
735,N28 UMa,,,,,,3520,2088,2130.01,,252-025,,,,09 00 15.0,+72 57 39.4,0.0726,0.0034,13.77,0.893,90,,,,16.05,14.34,13.4,11,9.731,9.239,8.975,13.64,,,,0900+7257
736,N14 Psc,Wolf 1039,,,,,899,545,5699,116317,157-073,,,,23 34 03.3,+00 10 45.9,0.0726,0.00342,13.77,1.368,226.8,-0.0665,-0.93624,13.738,12.64,11.18,10.15,8.89,7.664,7.07,6.828,10.48,,M4,,2334+0010
737,N6 Vel,,,,,,333,2085,2158,,,,,,08 59 31.3,-47 26 15.0,0.0725,0.0163,13.79,0.847,324,,,14.88,13.73,12.16,11.15,9.97,8.757,8.201,7.932,11.46,,,,0859-4726
738,N2 Lac,,,,,,1270,524,5441.01,,215-050,,,,22 29 55.1,+41 29 24.4,0.0725,0.0029,13.79,1.293,68,,,,14.9,13.24,12.01,10.4,8.85,8.33,8.04,12.54,,,,2229+4129
739,N7 Lib,,,,,,606,,3613.03,78353,,BD-07 4156,,,15 59 53.4,-08 15 11.5,0.07249,0.00189,13.8,0.206,96.5,0.0138,-0.02315,,12.02,10.49,9.51,8.39,7.185,6.601,6.343,9.79,,,,1559-0815
740,N15 Psc,,Iot,17,39 G.,,904,3995,5724,116771,,BD+04 5035,222368,8969,23 39 57.0,+05 37 34.7,0.07242,0.00086,13.81,0.577,139.3,0.0252,-0.437,,4.65,4.14,3.84,3.55,3.299,2.988,2.946,3.44,5,,SB? in CNS91;,2339+0537
741,N6 Cep,Errai,Gam,35,,,903,,5725,116727,,BD+76 928,222404,8974,23 39 20.9,+77 37 56.2,0.07242,0.00052,13.81,0.136,339,-0.0152,0.12718,,4.257,3.225,2.6,2.1,1.66,1.19,1.04,2.52,-42.4,K1 IVe,,2339+7737
742,N9 Tau,,,,,,192,,1176,24284,085-052,,,,05 12 42.2,+19 39 56.4,0.07239,0.00443,13.81,0.364,49.1,0.0195,0.23842,,11.97,10.95,10.3,9.9,7.299,6.695,6.47,10.24,,M3.5,,0512+1939
743,N14 Hya,,,,,,,,,52596,,,,,10 45 16.7,-30 48 26.9,0.07219,0.00245,13.85,0.235,187.3,-0.0023,-0.23336,,,11.22,,,7.816,7.216,6.992,10.51,,,,1045-3048
744,N8 Cyg,Wolf 1108,,,,,4117,3472,4606.01,,229-035,,,,19 34 57.6,+53 15 06.5,0.0721,0.0073,13.87,0.594,34,,,,13.84,12.2,11.12,9.8,8.554,7.974,7.684,11.49,,,,1934+5315
745,N11 Aql,,,,,,763,3470,4583,96285,023-005,BD+04 4157,184489,,19 34 39.8,+04 34 57.0,0.07201,0.00148,13.89,0.611,59.3,0.0351,0.31209,,10.73,9.35,8.49,7.7,,,,8.64,,K5/M0 V,SB2 in Tok92,1934+0434 A
746,N11 Aql B,,,,,,,,,,,,,,19 34 39.8,+04 34 57.0,0.07201,0.00148,13.89,,,,,,,,,,,,,,,,spectroscopic companion,1934+0434 B
747,N19 Boo,,,,,,3846,2913,3269.02,70475,065-049,,,,14 24 56.0,+08 53 15.4,0.07198,0.00404,13.89,0.569,73.9,0.0369,0.15816,,13.83,12.23,11.11,9.71,8.42,7.8,7.59,11.52,,,,1424+0853
748,N3 Del,,,,,,4169,3593,4997.01,,025-008,,,,20 53 33.2,+10 36 37.7,0.0719,0.0028,13.91,0.665,226,,,,15.1,13.97,12.67,10.99,9.35,8.75,8.48,13.25,,,,2053+1036
749,N18 Aqr,Wolf 906,,,,,816,3612,5046,103800,,,,,21 01 58.7,-06 19 07.5,0.07185,0.00253,13.92,0.501,207.2,-0.0154,-0.44523,13.876,12.73,11.24,10.18,8.86,7.563,6.952,6.692,10.52,,M2.5,,2101-0619
750,N13 Leo,,,,,,3637,296,2568.01,,045-027,,,,11 01 23.2,+02 59 46.3,0.0718,0.0031,13.93,1.103,112,,,,15.8,14.06,12.82,11.21,9.71,9.23,8.91,13.34,,,,1101+0259
751,N21 Vir,,,,,,1182,366,3240.02,,065-039,,,,14 15 30.2,+04 38 43.5,0.0717,0.0034,13.95,1.06,225,,,,16.02,14.3,12.95,11.1,9.43,8.94,8.62,13.58,,,,1415+0438
752,N4 Crt,,,,,,,,,56157,,,,,11 30 41.8,-08 05 42.9,0.07164,0.00402,13.96,0.441,306.5,-0.0239,0.26248,,,11.984,,,8.033,7.457,7.152,11.25,,,,1130-0805
753,N7 Cep,,,,,,1035,140,250.01,,265-008,,,,01 19 52.27,+84 09 33.2,0.0716,0.0027,13.97,1.081,295,,,,16.56,14.75,13.38,11.58,9.855,9.314,9.025,14.02,,,,0119+8409
754,N5 Tel,,,,,,773.6,3508,4734.3,98679,,CD-50 12780,189484,,20 02 35.2,-50 03 09.4,0.07157,0.00896,13.97,0.53,130.5,0.0418,-0.34441,,9.43,8.31,,,6.616,6.05,5.905,7.58,19.3,K4 V,HIP 98691 optical; FIX DEC TO BE -50 03 09,2002-5003
755,N6 For,,,,,,1046,154a,,10812,,,,,02 19 10.1,-36 46 41.1,0.07156,0.00299,13.97,1.499,68.5,0.116,0.54999,,13.12,11.62,,,7.924,7.317,7.031,10.89,,,,0219-3646
756,N23 Eri,,Tau1,1,22 G.,,111,,560,12843,,BD-19 518,17206,818,02 45 06.2,-18 34 21.2,0.07154,0.00076,13.98,0.333,83.7,0.0233,0.03628,,4.94,4.46,4.17,3.91,3.486,3.236,3.249,3.73,25.6,F5/6 V,,0245-1834
757,N29 UMa,,,,,,310,251,2037,42220,234-038,BD+67 552,,,08 36 25.5,+67 17 42.4,0.07146,0.0012,13.99,1.067,273.6,-0.184,0.06683,,10.76,9.32,8.42,7.49,6.43,5.78,5.58,8.59,13,M1,,0836+6717
758,N30 UMa,,,,,,532,,3166.01,67691,177-062,BD+50 2030,234078,,13 52 00.0,+49 57 03.3,0.07144,0.00094,14,0.445,108.3,0.0438,-0.13962,,10.23,8.9,8,7.3,6.279,5.638,5.508,8.16,-43,M0 p,,1352+4957
759,N19 Aqr,,,,,,875,,5527,112774,,BD-07 5871,216133,,22 50 19.4,-07 05 24.4,0.0714,0.00181,14.01,0.146,315,-0.0069,0.10308,,11.34,9.86,8.94,8.01,6.932,6.324,6.104,9.13,-8,,,2250-0705
760,N6 Ari,,,,,,104,,518.03,12097,004-030,BD+19 381,,,02 35 53.3,+20 13 11.6,0.07138,0.00182,14.01,0.288,119.1,0.0179,-0.14035,,12.22,10.75,9.9,9.1,7.208,6.572,6.328,10.01,,M2,,0235+2013
761,N22 Vir,,,,,,512 A,5249,3074.00 A,65714,014-055,,,,13 28 21.1,-02 21 37.1,0.07133,0.00232,14.02,0.51,162.8,0.0101,-0.48661,,12.81,11.3,10.24,8.81,,,,10.57,,M4,"CNS91 ""VAR"" not confirmed/refuted",1328-0221 A
762,N22 Vir B,,,,,,512 B,5250,3074.00 B,,,,,,13 28 21.1,-02 21 37.1,0.07133,0.00232,14.02,0.51,162.8,0.0101,-0.48661,,15.35,13.69,12.42,10.77,,,,12.96,,M4,,1328-0221 B
763,N24 Eri,,,,,,,,,17420,,BD-19 733,23356,,03 43 55.3,-19 06 39.2,0.07117,0.00091,14.05,0.347,63.2,0.0219,0.15652,,8.2,7.2,,,5.457,5.025,4.837,6.46,25.3,K2 V,,0343-1906
764,N5 LMi,,,,,,400 A,,2509.10 A,52600,,BD+39 2376,,,10 45 21.5,+38 30 42.4,0.07116,0.00221,14.05,0.152,346.7,-0.003,0.14761,,10.65,9.25,8.36,7.44,,,,8.51,,M2,,1045+3830 A
765,N5 LMi B,,,,,,400 B,,2509.10 B,,,,,,10 45 21.5,+38 30 42.4,0.07116,0.00221,14.05,0.152,346.7,-0.003,0.14761,,,,,,,,,,,,,1045+3830 B
766,N5 Sco,,,18,49 G.,,616,3171,3687,79672,,BD-07 4242,146233,6060,16 15 37.3,-08 22 10.0,0.07115,0.00088,14.05,0.547,154.9,0.0156,-0.49584,,6.13,5.48,5.13,4.79,4.667,4.162,4.186,4.74,10.6,G5 V,,1615-0822
767,N10 Tau,,,,,,1072,1706,1080.01,,085-019,,,,04 50 53.2,+22 06 57.3,0.0711,0.0057,14.06,0.744,124,,,,17.18,15.2,13.71,11.8,9.9,9.31,8.98,14.46,,,,0450+2206
768,N8 Cnc,,,,,AZ,316.1,2034,2067.01,,,,,,08 40 27.6,+18 23 34.5,0.0711,0.001,14.06,0.908,240,,,14.1,19.61,17.59,16.6,13.45,11.053,10.419,10.046,16.85,,,,0840+1823
769,N31 UMa,,,47,,,407,,2556,53721,,BD+41 2147,95128,4277,10 59 28.0,+40 25 48.9,0.07108,0.00066,14.07,0.321,279.9,-0.0277,0.05515,,5.66,5.1,4.7,4.4,3.96,3.736,3.75,4.35,12.6,G0 V,,1059+4025
770,N5 Scl,,,,89 G.,,42,1163,177,4148,269-049,CD-31 325,5133,,00 53 01.1,-30 21 24.9,0.07107,0.00078,14.07,0.621,87.1,0.0479,0.03131,,8.12,7.18,6.64,6.18,5.537,5.049,4.894,6.44,-7,K2 V,"CNS91 ""SB"" not confirmed/refuted",0053-3021
771,N20 Aqr,,,,,,898,,5695.00 A,116215,273-068,BD-17 6769,221503,,23 32 49.4,-16 50 44.3,0.07102,0.00129,14.08,0.407,122.4,0.0239,-0.21765,,9.85,8.6,7.81,7.13,,,,7.86,,K5/M0 V,,2332-1650 A
772,N20 Aqr B,,,,,,897 A,,5695.00 B,116191,273-067,BD-17 6768,,,23 32 49.4,-16 50 44.3,0.07102,0.00129,14.08,0.407,122.4,0.0239,-0.21765,,11.91 J,10.41 J,9.36 J,8.04 J,,,,9.66,,M3.5 J,,2332-1650 B
773,N20 Aqr C,,,,,,897 B,,5695.00 C,,,,,,23 32 49.4,-16 50 44.3,0.07102,0.00129,14.08,0.407,122.4,0.0239,-0.21765,,,,,,,,,,,,,2332-1650 C
774,N12 Cam,,,,,,184,28,1123,23518,191-019,BD+52 911,,,05 03 23.9,+53 07 42.5,0.071,0.00162,14.08,2.016,139.7,0.1449,-1.53729,,11.36,9.94,9.08,8.11,7.001,6.414,6.172,9.19,65.5,M0,also LHS 201,0503+5307
775,N21 Dra,,,26,,,684 A,3305,4013.00 A,86036,,BD+61 1678,160269,6573,17 34 59.6,+61 52 28.4,0.07096,0.0005,14.09,0.594,152.2,0.0392,-0.52562,,,,,,,,,,,G0 Va,,1734+6152 A
776,N21 Dra B,,,,,,684 B,,4013.00 B,,,,,,17 34 59.6,+61 52 28.4,0.07096,0.0005,14.09,0.594,152.2,0.0392,-0.52562,,,,,,,,,,,K3 V,,1734+6152 B
